preprocess_latency(us),HtoD_latency(us),kernel_latency(us),DtoH_latency(us),postprocess_latency(us),gpu_overhead(us),cpu_overhead
230.729,9.325,13.142,11.133,139.298,60.643,370.027
230.724,9.269,13.157,11.032,139.384,60.435,370.108
230.688,9.269,13.171,11.059,139.479,60.722,370.167
230.698,9.275,13.109,11.060,139.441,60.831,370.139
230.755,9.391,13.215,11.107,139.274,60.597,370.028
231.878,9.390,13.086,11.185,139.285,60.892,371.162
230.836,9.511,13.149,11.124,139.520,60.443,370.356
230.854,9.690,13.026,11.036,139.386,60.613,370.240
230.624,9.476,13.132,11.060,139.322,60.889,369.946
230.946,9.220,13.034,11.092,139.479,60.573,370.425
230.620,9.303,13.110,11.133,139.934,60.812,370.554
230.623,9.280,13.190,11.009,140.146,60.421,370.769
230.768,9.254,13.173,10.977,140.146,60.484,370.915
230.733,9.324,13.257,11.177,140.145,60.581,370.878
230.605,9.533,13.141,11.148,140.092,61.197,370.697
231.018,9.360,13.035,11.110,140.266,60.723,371.284
230.541,9.604,13.235,11.169,140.107,61.378,370.648
230.675,9.523,13.068,11.182,140.171,60.993,370.846
230.805,9.358,13.273,11.157,140.191,61.294,370.883
230.619,9.397,13.279,11.046,140.119,60.776,370.738
230.593,9.243,13.197,11.121,140.092,60.700,370.685
230.686,9.299,13.208,11.110,140.111,60.371,370.797
230.515,9.260,13.125,11.115,140.012,61.032,370.527
230.850,9.305,13.275,11.043,140.327,60.636,371.109
230.596,9.318,13.132,11.056,140.132,60.555,370.728
230.763,9.504,13.060,11.227,140.151,60.721,370.913
230.658,9.467,13.281,11.079,140.160,60.332,370.818
230.876,9.430,13.062,11.175,140.220,60.909,371.096
230.927,8.840,13.553,11.176,140.191,60.747,371.118
230.736,8.611,13.538,11.172,140.041,60.213,370.777
230.906,8.621,13.598,11.052,140.185,59.907,371.091
230.778,8.680,13.756,11.064,140.231,59.900,371.009
230.769,8.879,13.748,11.118,140.226,60.240,370.995
230.625,8.679,13.543,11.027,140.070,60.042,370.695
230.679,8.768,13.755,11.241,140.237,59.728,370.916
230.743,8.701,13.766,11.103,140.236,59.639,370.980
230.543,8.781,13.625,11.181,140.133,60.224,370.676
230.907,8.750,13.666,11.139,140.317,60.299,371.224
230.717,8.845,13.807,11.088,140.207,60.464,370.924
230.877,8.638,13.761,11.014,140.249,59.476,371.126
230.482,8.699,13.622,11.060,140.157,60.207,370.639
230.673,8.702,13.626,11.198,140.190,59.964,370.862
230.666,8.683,13.690,11.009,140.220,59.465,370.886
230.566,8.705,13.627,11.032,140.066,59.945,370.632
230.962,8.676,13.713,11.093,140.194,59.957,371.156
230.659,8.649,13.596,11.172,140.058,60.308,370.716
230.658,8.737,13.601,11.116,140.140,60.190,370.798
230.601,8.704,13.712,10.947,140.127,59.672,370.728
230.717,8.686,13.764,11.283,140.176,60.028,370.892
230.684,8.689,13.692,11.168,140.170,60.122,370.854
230.619,8.735,13.696,11.406,140.232,60.314,370.851
231.436,8.989,13.667,11.024,140.092,59.802,371.461
230.616,9.049,13.604,11.111,139.986,60.138,370.602
230.936,8.987,13.689,11.085,140.268,60.244,371.204
230.486,9.011,13.643,11.059,140.094,60.245,370.580
230.672,8.887,13.586,11.159,140.192,60.130,370.865
230.601,9.362,13.177,11.003,140.060,61.069,370.662
230.338,8.756,13.573,11.273,139.957,60.469,370.295
230.475,8.689,13.642,11.257,140.090,60.473,370.565
