preprocess_latency(us),HtoD_latency(us),kernel_latency(us),DtoH_latency(us),postprocess_latency(us),gpu_overhead(us),cpu_overhead
215.365,9.999,11.679,11.754,138.716,68.554,354.081
215.266,10.041,11.872,11.745,138.656,69.202,353.922
215.178,10.000,11.766,11.611,138.576,70.497,353.754
215.321,10.130,11.938,11.570,138.595,69.058,353.916
216.294,10.000,11.828,11.858,138.699,68.986,354.993
215.023,9.830,11.702,11.756,138.550,69.304,353.496
215.424,10.057,11.697,11.657,139.689,69.720,355.113
215.360,10.067,11.896,11.677,138.544,67.833,353.904
215.098,10.222,11.935,11.564,138.607,68.993,353.705
215.150,9.988,11.811,11.468,138.629,68.942,353.779
215.339,9.966,11.720,11.574,138.578,70.037,353.839
215.080,10.270,12.086,11.659,138.590,70.056,353.671
215.260,10.097,11.909,11.791,138.991,69.606,354.251
215.187,9.878,11.815,11.770,139.090,69.522,354.277
215.035,9.768,11.680,11.559,138.951,68.642,353.987
215.191,10.094,11.846,11.711,138.963,69.754,354.154
215.198,10.204,11.885,11.668,139.058,68.955,354.256
215.302,10.145,11.946,11.602,139.043,69.392,354.344
215.057,9.891,11.665,11.759,138.981,70.116,354.038
215.046,10.211,12.044,11.790,139.032,68.991,354.078
215.069,10.131,11.880,11.787,139.048,68.771,354.118
215.024,9.932,11.677,11.860,139.016,70.002,354.040
215.121,9.909,11.710,11.626,138.947,69.601,354.068
215.104,10.105,11.876,11.798,139.033,69.497,354.137
215.012,10.080,11.749,11.714,139.063,69.848,353.999
215.219,9.863,11.636,11.740,139.021,70.052,354.240
215.089,9.793,11.647,11.726,139.052,70.299,354.141
215.026,10.048,11.827,11.705,139.045,68.830,353.991
215.279,10.008,11.817,11.958,139.061,69.935,354.340
215.127,9.897,11.680,11.714,139.025,69.948,354.152
215.071,10.030,11.649,11.735,139.044,69.783,354.066
215.437,10.076,11.811,11.490,139.462,67.756,354.900
215.062,10.168,11.829,11.414,139.005,67.906,354.067
215.107,10.048,11.909,11.548,139.031,67.972,354.137
215.288,9.993,11.746,11.446,139.103,68.280,354.391
215.083,9.982,11.791,11.447,139.027,68.187,354.110
215.020,9.961,11.647,11.371,139.115,68.296,354.136
215.078,9.910,11.718,11.417,139.124,67.410,354.153
215.039,9.886,11.732,11.675,138.984,68.087,354.023
214.834,10.014,11.819,11.561,139.008,68.176,353.842
215.004,10.212,11.805,11.534,139.068,69.029,354.071
215.068,9.946,11.677,11.480,139.064,67.700,354.132
215.122,9.925,11.638,11.448,138.980,67.829,354.102
215.141,10.050,11.879,11.521,139.030,68.068,354.170
215.134,10.007,11.818,11.635,138.984,68.656,354.119
215.157,9.833,11.653,11.733,139.004,67.118,354.085
215.072,9.936,11.585,11.713,138.959,68.961,354.031
215.209,10.089,11.872,11.490,139.082,68.142,354.291
215.250,10.062,11.687,11.658,138.952,68.890,354.203
215.380,9.888,11.704,11.810,138.917,68.788,354.297
215.360,9.815,11.642,11.935,138.912,70.251,354.271
215.210,10.007,11.886,11.888,138.858,69.669,354.019
215.299,9.909,11.872,11.869,138.955,68.725,354.253
215.135,9.931,11.706,11.996,138.898,70.687,354.033
215.366,9.805,11.705,11.807,139.040,70.386,354.405
215.157,10.063,11.824,12.004,138.927,69.953,354.084
215.157,10.008,11.894,12.079,138.879,69.607,354.036
215.283,9.802,11.727,12.131,138.888,69.059,354.171
215.373,9.833,11.710,11.809,139.006,68.932,354.379
215.232,10.000,11.889,11.980,138.926,69.641,354.157
215.176,10.125,11.990,12.012,138.939,69.553,354.116
215.152,9.791,11.758,11.923,138.957,69.944,354.110
215.235,9.923,11.647,11.942,138.984,70.113,354.219
